,sumCvsDsAbs,prediction
0,"[0, 0, 0, 0, 0, 0, 312, 312, 0, 0, 29371, 29371, 474, 0, 0, 453, 367, 0, 0, 0, 0, 0, 0, 327, 315, 1, 636, 981, 0, 0]",4
1,"[94, 121, 33, 9, 90, 92, 0, 0, 0, 0, 74, 90, 22, 121, 101, 83, 111, 114, 15, 182, 101, 0, 0, 0, 0, 16, 121, 196, 78, 75]",0
2,"[288, 215, 349, 322, 254, 327, 15, 17, 344, 313, 59, 59, 29, 248, 208, 17, 25, 237, 319, 283, 322, 265, 250, 27, 22, 205, 17, 33, 258, 300]",0
3,"[182, 192, 215, 221, 219, 237, 0, 0, 164, 189, 0, 0, 160, 0, 0, 0, 227, 189, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 217, 176]",0
4,"[1291, 1574, 111, 9, 1318, 53, 15078, 0, 26, 2117, 2244, 5077, 1073, 10144, 113, 1169, 2472, 16, 1357, 16996, 16996, 3127, 7207, 43, 8, 607, 4995, 383, 274, 11462]",1
5,"[0, 0, 0, 0, 0, 0, 311, 290, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 307, 651, 450, 607, 531, 684, 534, 0, 0]",0
6,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
7,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
8,"[0, 0, 4, 4, 9, 9, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 2, 2, 0, 0, 1, 1]",0
9,"[356, 255, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 4, 0, 0, 0, 1, 74, 338, 0, 0, 242, 0, 0, 255, 215, 2, 0]",0
10,"[0, 0, 0, 0, 0, 4, 0, 17, 0, 74, 74, 21, 64, 64, 844, 0, 0, 0, 0, 0, 0, 332, 0, 0, 3, 0, 0, 1275, 0, 0]",4
11,"[0, 1, 5, 1, 0, 0, 5, 0, 0, 0, 21, 0, 0, 0, 3, 2, 5, 2, 6, 0, 63, 0, 0, 2, 24, 2, 12, 1, 1, 1]",0
12,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 6, 6, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 0, 0, 0, 0, 9, 9]",0
13,"[6, 3, 0, 3, 4, 2, 0, 6, 2, 1, 1, 1, 0, 7, 6, 0, 2, 3, 4, 6, 6, 216, 0, 11, 1, 2, 2, 8, 1, 2]",0
14,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
15,"[0, 3, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 4, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 3, 0, 0, 6, 1, 0]",0
