,sumCvsDsAbs
8,"[1, 0, 5, 8, 0, 0, 0, 2, 1, 0, 5, 0, 46, 0, 4, 6, 3, 3, 14, 1, 6, 3, 5, 5, 0, 2, 3, 1, 8, 1]"
17,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
18,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
20,"[179, 167, 181, 175, 186, 169, 190, 118, 143, 173, 185, 168, 160, 163, 187, 187, 0, 16, 0, 189, 173, 174, 172, 182, 214, 200, 184, 194, 179, 186]"
27,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
35,"[1, 1, 0, 0, 1, 0, 0, 14, 0, 0, 3, 2, 1, 0, 0, 0, 0, 2, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
44,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
47,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
49,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
59,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
62,"[99, 0, 1307, 2165, 149, 23, 0, 1, 1, 0, 830, 1967, 0, 0, 0, 0, 22, 0, 10, 0, 34, 1, 8, 15, 0, 0, 2, 0, 0, 35]"
63,"[0, 0, 4, 0, 0, 0, 5, 0, 0, 0, 0, 0, 133, 0, 3, 0, 2, 0, 0, 0, 3, 1, 0, 2, 0, 1, 0, 1, 2, 1]"
74,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
76,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
